date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles
12/13/2022,293,281,264,2966,5930,1931,404,,,1617,16,211,170,,,4549,592
12/14/2022,294,281,264,2970,5937,1931,404,,,1617,16,211,171,,,4562,592
12/15/2022,295,281,264,2975,5946,1943,406,,,1644,16,211,172,,,4563,592
12/16/2022,296,281,264,2980,5952,1946,410,,,1648,16,211,172,,,4563,592
12/17/2022,297,281,264,2985,5958,1947,410,,,1648,16,211,174,,,4577,653
12/18/2022,298,281,264,2987,5963,1948,410,,,1649,16,211,174,,Lyman and Bakhmut,4579,653
12/19/2022,299,281,264,2988,5969,1953,410,,,1657,16,212,175,,,4592,653
12/20/2022,300,281,266,2995,5974,1960,410,,,1680,16,212,177,,,4599,653
12/21/2022,301,282,267,3002,5979,1972,412,,,1688,16,212,178,,,4608,653
12/22/2022,302,283,267,3002,5981,1978,413,,,1693,16,212,178,,,4615,653
12/23/2022,303,283,267,3005,5986,1984,414,,,1698,16,212,178,,,4622,653
12/24/2022,304,283,267,3006,5994,1988,418,,,1706,16,212,178,,"Kupiansk, Avdiivka and Bakhmut",4627,653
12/25/2022,305,283,267,3011,6010,1991,418,,,1706,16,212,178,,,4635,653
12/26/2022,306,283,267,3016,6017,1996,418,,,1707,16,212,178,,"Kupiansk, Avdiivka and Bakhmut",4647,653
12/27/2022,307,283,267,3016,6024,1998,418,,,1707,16,212,179,,Bakhmut and Lyman,4652,653
12/28/2022,308,283,267,3017,6037,1999,418,,,1707,16,212,179,,,4660,653
12/29/2022,309,283,268,3018,6047,2004,423,,,1717,16,212,179,,Lyman and Bakhmut,4675,653
12/30/2022,310,283,268,3026,6059,2010,423,,,1740,16,212,180,,Lyman and Bakhmut,4683,711
12/31/2022,311,283,269,3029,6075,2016,423,,,1746,16,213,180,,,4707,711
1/1/2023,312,283,269,3031,6084,2021,423,,,1792,16,213,181,,Lyman and Bakhmut,4720,723
1/2/2023,313,283,269,3031,6093,2027,423,,,1836,16,213,181,,"Lyman, Bakhmut and Avdiivka",4725,723
1/3/2023,314,283,270,3036,6100,2033,424,,,1839,16,214,181,,,4735,723
1/4/2023,315,283,270,3038,6106,2039,424,,,1842,16,215,181,,,4745,723
1/5/2023,316,284,271,3041,6108,2051,426,,,1844,16,215,182,,,4759,723
1/6/2023,317,285,272,3064,6124,2059,431,,,1844,16,215,182,,,4797,723
1/7/2023,318,285,272,3066,6125,2062,431,,,1844,16,217,182,,,4798,723
1/8/2023,319,285,272,3069,6130,2065,431,,,1849,16,217,183,,,4801,723
1/9/2023,320,285,275,3080,6147,2069,434,,,1856,16,217,183,,,4809,723
1/10/2023,321,285,275,3084,6154,2073,434,,,1860,17,217,183,,,4817,723
1/11/2023,322,285,275,3094,6159,2078,437,,,1862,17,217,184,,,4826,723
1/12/2023,323,285,276,3094,6159,2082,437,,,1865,17,218,184,,,4826,723
1/13/2023,324,286,276,3098,6167,2086,437,,,1865,17,218,184,,,4833,723
1/14/2023,325,286,276,3104,6173,2090,437,,,1867,17,219,186,,,4846,723
1/15/2023,326,286,276,3106,6183,2094,437,,,1872,17,219,187,,,4846,749
1/16/2023,327,286,276,3118,6204,2099,438,,,1872,17,220,190,,,4870,749
1/17/2023,328,286,276,3121,6215,2104,441,,,1872,17,220,190,,,4877,749
1/18/2023,329,287,276,3130,6215,2108,442,,,1876,17,220,190,,,4889,749
1/19/2023,330,287,277,3136,6235,2122,442,,,1882,17,220,190,,,4896,749
1/20/2023,331,287,277,3139,6241,2129,442,,,1886,17,220,190,,,4903,749
1/21/2023,332,287,277,3140,6256,2135,443,,,1891,17,220,193,,,4918,749
1/22/2023,333,287,277,3145,6268,2144,445,,,1892,17,220,193,,,4932,749
1/23/2023,334,287,277,3150,6276,2146,447,,,1894,18,220,193,,,4936,749
1/24/2023,335,289,281,3152,6284,2148,448,,,1897,18,220,194,,,4944,749
1/25/2023,336,290,281,3161,6307,2154,450,,,1902,18,220,194,,,4967,749
1/26/2023,337,292,282,3175,6334,2169,452,,,1908,18,220,195,,,4986,749
1/27/2023,338,292,283,3182,6340,2180,452,,,1941,18,221,199,,,5001,796
1/28/2023,339,293,284,3189,6344,2188,453,,,1947,18,221,199,,,5027,796
1/29/2023,340,293,284,3197,6366,2195,453,,,1947,18,221,199,,,5037,796
1/30/2023,341,293,284,3201,6369,2196,453,,,1947,18,221,199,,,5041,796
1/31/2023,342,293,284,3201,6378,2197,454,,,1951,18,221,200,,,5048,796
2/1/2023,343,293,284,3209,6382,2207,458,,,1951,18,221,200,,,5061,796
2/2/2023,344,293,284,3211,6382,2212,458,,,1951,18,222,200,,,5064,796
2/3/2023,345,294,284,3215,6388,2215,460,,,1952,18,222,202,,,5068,796
2/4/2023,346,294,284,3218,6394,2220,460,,,1956,18,225,203,,,5081,796
2/5/2023,347,294,284,3220,6405,2226,460,,,1958,18,227,203,,,5091,796
2/6/2023,348,294,284,3231,6415,2231,461,,,1958,18,227,203,,,5104,796
2/7/2023,349,294,284,3245,6443,2232,461,,,1958,18,227,208,,,5107,796
2/8/2023,350,295,285,3253,6458,2236,461,,,1961,18,228,211,,,5112,796
2/9/2023,351,295,285,3255,6468,2244,463,,,1967,18,232,211,,,5121,796
2/10/2023,352,295,286,3258,6471,2251,463,,,1970,18,233,211,,,5126,796
2/11/2023,353,295,286,3267,6474,2270,463,,,1997,18,234,214,,,5134,857
2/12/2023,354,296,286,3280,6488,2287,465,,,2007,18,234,215,,,5148,857
2/13/2023,355,296,286,3283,6492,2290,465,,,2007,18,234,217,,,5150,857
2/14/2023,356,298,286,3286,6500,2299,466,,,2011,18,234,218,,,5155,857
2/15/2023,357,298,286,3290,6507,2303,466,,,2011,18,236,219,,,5161,857
2/16/2023,358,298,287,3296,6517,2306,466,,,2012,18,239,219,,,5167,857
2/17/2023,359,298,287,3298,6520,2322,467,,,2013,18,241,221,,,5187,871
2/18/2023,360,298,287,3303,6533,2326,469,,,2016,18,243,223,,,5196,871
2/19/2023,361,298,287,3310,6545,2327,469,,,2016,18,243,224,,,5196,873
2/20/2023,362,299,287,3316,6553,2334,471,,,2018,18,243,225,,,5209,873
2/21/2023,363,299,287,3326,6562,2338,471,,,2023,18,243,226,,,5210,873
2/22/2023,364,299,287,3334,6569,2345,471,,,2026,18,243,226,,,5212,873
2/23/2023,365,299,287,3350,6593,2352,471,,,2029,18,244,228,,,5215,873
2/24/2023,366,299,287,3363,6600,2363,474,,,2033,18,247,229,,,5224,873
2/25/2023,367,299,288,3375,6609,2373,475,,,2035,18,247,230,,,5235,873
2/26/2023,368,299,288,3381,6615,2380,475,,,2037,18,247,230,,,5242,873
2/27/2023,369,300,288,3385,6621,2380,475,,,2048,18,247,230,,,5248,873
2/28/2023,370,300,288,3388,6630,2383,478,,,2051,18,247,230,,,5252,873
3/1/2023,371,300,288,3395,6638,2393,479,,,2055,18,247,230,,,5257,873
3/2/2023,372,300,288,3397,6658,2398,480,,,2058,18,247,230,,,5264,873
3/3/2023,373,301,289,3405,6673,2402,484,,,2061,18,247,230,,,5281,873
3/4/2023,374,302,289,3409,6683,2414,487,,,2066,18,247,230,,,5289,873
3/5/2023,375,302,289,3414,6692,2426,488,,,2071,18,248,232,,,5299,873
3/6/2023,376,302,289,3423,6703,2433,488,,,2086,18,250,234,,,5307,873
3/7/2023,377,303,289,3432,6714,2456,488,,,2095,18,253,236,,,5323,873
3/8/2023,378,303,289,3436,6723,2463,488,,,2098,18,253,236,,,5330,873
3/9/2023,379,303,289,3441,6736,2465,488,,,2098,18,254,237,,,5331,873
3/10/2023,380,304,289,3448,6742,2475,491,,,2107,18,256,240,,,5337,907
3/11/2023,381,304,289,3458,6762,2483,493,,,2108,18,257,242,,,5344,907
3/12/2023,382,304,289,3466,6769,2487,493,,,2108,18,259,242,,,5348,907
3/13/2023,383,304,289,3474,6774,2503,493,,,2109,18,259,251,,,5354,907
3/14/2023,384,304,289,3484,6789,2519,495,,,2120,18,260,256,,,5367,907
3/15/2023,385,304,289,3492,6799,2528,502,,,2132,18,262,257,,,5377,907
3/16/2023,386,305,289,3504,6810,2539,503,,,2145,18,265,257,,,5394,907
3/17/2023,387,305,290,3506,6823,2552,504,,,2145,18,265,258,,,5401,907
3/18/2023,388,305,290,3511,6830,2560,506,,,2159,18,265,259,,,5404,907
3/19/2023,389,305,290,3532,6853,2568,507,,,2159,18,268,262,,,5408,907
